id,Name,Rank,min,other,details
1,Dina Aziz ,2,10000,,mackup with Lenses & eyelashes 
2,Dina Aziz - veil,2,12000,,mackup with Lenses & eyelashes with veil
3,may maklad ,2,10000,,
4,Olivia -bridal,1.5,7000,,bridal
5,Olivia - engagement,1.5,"4,500",,engagement
6,Olivia -soiree,1.5,1000,,soiree
7,Olivia-soiree,1.5,1800,,soiree
8,Make up with rania- rania saad,1,11000,,bridal
9,Heba Fawzy-soiree,2,"1,800",,soiree
10,Heba Fawzy-engagement,2,3000,,engagement
11,Heba Fawzy-bridal,2,6000,,bridal
12,Heba Fawzy-katbketab,2,"2,500",3000,katb ketab
13,ereny halim -soiree,1.75,4500,,soiree
14,ereny halim -salon,1.75,9000,,salon bridal makeup
15,ereny halim -hotel,1.75,11000,,hotel bridal mackeup
16,Omnia,1.5,8000,,
17,Fatma Kabeel,2.25,6000,,
18,Monica Remon,2,13000,,
19,Henda Mohsen,2,9000,9500/10000,
20,Menna El Telt,1.5,10000,,
21,Ghada Gabra,1.75,3500,4000/5000/5500/7000,
22,Hadeer El Zamal,1.75,5000,5300,
23,Wedyan Mohy,2,14000,,
24,Eva,2,4000,,
